City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,dunedin,-45.8742,170.5036,8.080000000000041,65,19,9.24,NZ,1682273222
159,kuytun,54.3419,101.5036,-1.9599999999999795,59,10,2.03,RU,1682273222
160,mariental,-24.6333,17.9667,25.840000000000032,27,45,1.74,NA,1682273223
161,south venice,27.0531,-82.4243,31.260000000000048,51,40,3.6,US,1682273223
162,mili,6.0815,171.735,27.810000000000002,82,31,8.49,MH,1682273224
163,moree,-29.4667,149.85,14.810000000000002,75,0,3.4,AU,1682273224
164,colonel hill,22.7667,-74.2167,25.360000000000014,67,11,6.82,BS,1682273225
165,nelson bay,-32.7167,152.15,21.110000000000014,76,58,4.47,AU,1682273225
166,berbera,10.4396,45.0143,28.870000000000005,75,73,2.38,SO,1682273226
167,kill devil hills,36.0307,-75.676,22.0,57,0,2.06,US,1682273226
168,richards bay,-28.783,32.0377,20.0,79,0,0.7,ZA,1682273226
169,tangalle,6.024,80.7911,26.400000000000034,88,99,1.98,LK,1682273227
170,forster,-32.1667,152.5167,15.770000000000039,98,61,4.38,AU,1682273227
171,hammerfest,70.6634,23.6821,-1.75,86,75,3.09,NO,1682273228
172,chateaubourg,48.1112,-1.4002,13.25,84,93,6.52,FR,1682273228
173,outeiro de rei,43.102,-7.615,15.160000000000025,100,99,2.58,ES,1682273229
174,naze,28.3667,129.4833,19.0,80,52,6.38,JP,1682273230
175,punta arenas,-53.15,-70.9167,9.060000000000002,57,75,7.2,CL,1682273231
176,trumann,35.6737,-90.5073,12.060000000000002,43,44,3.85,US,1682273231
177,vernon,50.2581,-119.2691,10.340000000000032,77,100,2.24,CA,1682273231
178,keflavik,64.0049,-22.5624,5.240000000000009,65,20,4.63,IS,1682273231
179,nagqu,31.5,92.0,-2.1999999999999886,36,100,4.63,CN,1682273232
180,constitucion,-35.3333,-72.4167,17.600000000000023,64,3,3.03,CL,1682273232
181,sarupathar,26.1984,93.8094,20.129999999999995,92,99,2.43,IN,1682273233
182,onega,63.9061,38.1404,-2.769999999999982,77,83,1.28,RU,1682273233
183,conover,35.7065,-81.2187,21.25,39,75,5.66,US,1682273234
184,luganville,-15.5333,167.1667,26.220000000000027,81,50,2.58,VU,1682273234
185,hanamaki,39.3833,141.1167,3.7700000000000387,62,100,2.07,JP,1682273234
186,semey,50.4111,80.2275,10.79000000000002,39,100,8.11,KZ,1682273235
187,kangding,30.0513,101.9603,7.020000000000039,86,84,1.3,CN,1682273235
188,la passe,45.5549,-0.8967,15.129999999999995,88,15,8.59,FR,1682273095
189,wotho,10.1657,166.0102,27.410000000000025,80,100,9.25,MH,1682273236
190,broken hill,-31.95,141.4333,15.629999999999995,56,0,4.34,AU,1682273236
191,tsumeb,-19.2333,17.7167,28.129999999999995,28,78,1.19,NA,1682273237
192,balqash,46.8481,74.995,10.720000000000027,49,80,4.05,KZ,1682273237
193,saipan,15.1355,145.701,27.390000000000043,100,20,8.23,MP,1682273238
194,al kharijah,25.4514,30.5464,28.710000000000036,21,99,3.12,EG,1682273024
195,cape coast,5.1053,-1.2466,28.370000000000005,83,70,7.02,GH,1682273239
196,farsala,39.2947,22.3847,13.160000000000025,79,15,2.63,GR,1682273239
197,melchor de mencos,17.0686,-89.1522,34.0,49,0,2.06,GT,1682273239
198,rio grande,-32.035,-52.0986,25.060000000000002,67,96,4.34,BR,1682273240
199,dolinsk,47.35,142.8,-0.46999999999997044,82,80,2.96,RU,1682273240
200,george town,5.4112,100.3354,25.960000000000036,94,20,0.0,MY,1682273240
201,san patricio,28.017,-97.5169,19.350000000000023,91,100,9.43,US,1682273241
202,ust-nera,64.5667,143.2,-10.759999999999991,97,100,3.28,RU,1682273241
203,phan thiet,10.9333,108.1,25.350000000000023,87,52,2.6,VN,1682273242
204,santa cruz cabralia,-16.2781,-39.0247,22.129999999999995,100,100,3.09,BR,1682273242
205,sretensk,52.2453,117.7093,-3.6899999999999977,65,69,1.75,RU,1682273243
206,lascano,-33.6667,-54.2,23.53000000000003,45,100,2.8,UY,1682273243
207,mount isa,-20.7333,139.5,22.870000000000005,38,40,2.57,AU,1682273243
208,plattsburgh,44.6995,-73.4529,9.939999999999998,85,100,1.34,US,1682273165
209,vilyuchinsk,52.9306,158.4028,-0.8499999999999659,81,100,4.15,RU,1682273244
210,remire-montjoly,4.9167,-52.2667,25.02000000000004,94,75,1.54,GF,1682273245
211,rehoboth,-23.3167,17.0833,23.600000000000023,33,18,1.27,NA,1682273245
212,ejirin,6.6142,3.9002,27.32000000000005,79,100,2.97,NG,1682273245
213,crucecita,-28.95,-58.9833,27.900000000000034,31,100,3.19,AR,1682273246
214,barrouallie,13.2333,-61.2667,26.879999999999995,70,100,3.47,VC,1682273246
215,chonchi,-42.6128,-73.8092,13.560000000000002,65,98,0.6,CL,1682272972
216,dudinka,69.4058,86.1778,0.7100000000000364,88,100,6.33,RU,1682273247
217,porbandar,21.6422,69.6093,26.480000000000018,80,11,5.44,IN,1682273247
218,sinan,34.8262,126.1086,13.060000000000002,73,100,3.54,KR,1682273119
219,qaqortoq,60.7167,-46.0333,2.5200000000000387,74,63,1.9,GL,1682273248
220,alicia,16.7794,121.6973,23.590000000000032,92,99,1.92,PH,1682273248
221,port saint john's,-31.6229,29.5448,20.379999999999995,74,2,4.08,ZA,1682273249
222,northam,51.0333,-4.2167,10.900000000000034,80,53,6.93,GB,1682273249
223,messaad,34.1543,3.5031,23.05000000000001,33,84,6.28,DZ,1682273249
224,coquimbo,-29.9533,-71.3436,18.850000000000023,68,75,3.6,CL,1682273018
225,kodiak,57.79,-152.4072,1.7300000000000182,51,0,5.14,US,1682273250
226,st. john's,47.5649,-52.7093,4.8799999999999955,97,100,12.07,CA,1682273122
227,mugia,43.1041,-9.2179,17.310000000000002,94,91,4.37,ES,1682273251
228,la ronge,55.1001,-105.2842,2.82000000000005,65,100,2.25,CA,1682273251
229,sakata,38.9167,139.855,7.6299999999999955,47,85,7.51,JP,1682273252
230,ilulissat,69.2167,-51.1,2.0100000000000477,93,100,0.0,GL,1682273252
231,ad dabbah,18.05,30.95,35.670000000000016,9,17,3.21,SD,1682273253
232,enewetak,11.3474,162.3373,27.010000000000048,82,89,8.5,MH,1682273253
233,kingston,17.997,-76.7936,31.25,63,5,4.02,JM,1682273254
234,chibougamau,49.9168,-74.3659,5.7900000000000205,93,100,4.12,CA,1682273017
235,anchau,10.9597,8.3916,27.49000000000001,56,79,7.32,NG,1682273255
236,mount pearl,47.5166,-52.7813,4.420000000000016,97,100,7.72,CA,1682273255
237,palm springs,33.8303,-116.5453,32.420000000000016,22,0,3.09,US,1682273012
238,island harbour,50.724,-1.2758,12.740000000000009,77,93,1.79,GB,1682273256
239,tamanrasset,22.785,5.5228,27.950000000000045,12,40,2.06,DZ,1682273256
240,eilat,29.5581,34.9482,25.910000000000025,29,100,6.17,IL,1682273257
241,hadibu,12.65,54.0333,28.5,75,36,0.98,YE,1682273257
242,scarborough,54.2797,-0.4044,8.770000000000039,84,98,1.79,GB,1682273257
243,trondheim,63.4305,10.3951,3.0500000000000114,93,100,0.45,NO,1682273257
244,pundong,-7.9522,110.3486,25.420000000000016,91,100,2.02,ID,1682273258
245,vanino,49.0869,140.2543,-3.019999999999982,96,85,1.64,RU,1682273077
